79956017798070020004501605086             9999999999999951300      616      287Census Tract 9513 (part)                                                                                                                                                   
795560177980700300                                              128037    58401Laramie & Albany Counties PUMA                                                                                                                                             
79656017798070030000101605066                                    36299    17939Albany County                                                                                                                                                              
79856017798070030000101605066             0068002407710             55       78Albany CDP                                                                                                                                                                 
79956017798070030000101605066             0068002407710963900       55       78Census Tract 9639 (part)                                                                                                                                                   
79856017798070030000101605066             1344002408002            270      357Centennial CDP                                                                                                                                                             
79956017798070030000101605066             1344002408002963900      270      357Census Tract 9639 (part)                                                                                                                                                   
79856017798070030000101605066             2939002629265             22       36Fox Park CDP                                                                                                                                                               
79956017798070030000101605066             2939002629265963900       22       36Census Tract 9639 (part)                                                                                                                                                   
79856017798070030000101605066             4505002411625          30816    14307Laramie city                                                                                                                                                               
79956017798070030000101605066             4505002411625962700      661      293Census Tract 9627 (part)                                                                                                                                                   
79956017798070030000101605066             4505002411625962800     3179     1509Census Tract 9628 (part)                                                                                                                                                   
79956017798070030000101605066             4505002411625962900     1804      921Census Tract 9629 (part)                                                                                                                                                   
79956017798070030000101605066             4505002411625963000     2502     1304Census Tract 9630 (part)                                                                                                                                                   
79956017798070030000101605066             4505002411625963100     7017     3341Census Tract 9631 (part)                                                                                                                                                   
79956017798070030000101605066             4505002411625963400     3498     1904Census Tract 9634                                                                                                                                                          
79956017798070030000101605066             4505002411625963500     2826      498Census Tract 9635                                                                                                                                                          
79956017798070030000101605066             4505002411625963600     4617     2286Census Tract 9636                                                                                                                                                          
79956017798070030000101605066             4505002411625963700     4712     2251Census Tract 9637 (part)                                                                                                                                                   
79856017798070030000101605066             6709002412561            245      126Rock River town                                                                                                                                                            
79956017798070030000101605066             6709002412561963900      245      126Census Tract 9639 (part)                                                                                                                                                   
79856017798070030000101605066             8485202409627             97       92Woods Landing-Jelm CDP                                                                                                                                                     
79956017798070030000101605066             8485202409627963900       97       92Census Tract 9639 (part)                                                                                                                                                   
79856017798070030000101605066             9999999999999           4794     2943Remainder of Albany County                                                                                                                                                 
79956017798070030000101605066             9999999999999962700     2707     1191Census Tract 9627 (part)                                                                                                                                                   
79956017798070030000101605066             9999999999999962800      106       54Census Tract 9628 (part)                                                                                                                                                   
79956017798070030000101605066             9999999999999962900        5        3Census Tract 9629 (part)                                                                                                                                                   
79956017798070030000101605066             9999999999999963000        7        3Census Tract 9630 (part)                                                                                                                                                   
79956017798070030000101605066             9999999999999963100        3        1Census Tract 9631 (part)                                                                                                                                                   
79956017798070030000101605066             9999999999999963700      514      210Census Tract 9637 (part)                                                                                                                                                   
79956017798070030000101605066             9999999999999963900     1452     1481Census Tract 9639 (part)                                                                                                                                                   
79656017798070030002101605075                                    91738    40462Laramie County                                                                                                                                                             
79856017798070030002101605075             0082502412343            181       71Albin town                                                                                                                                                                 
79956017798070030002101605075             0082502412343002000      181       71Census Tract 20 (part)                                                                                                                                                     
79856017798070030002101605075             1126502411746            301      138Burns town                                                                                                                                                                 
